// Converted from IBM/Eloquence SPR-style dictionary. Review before installing.
// Format: word<TAB>[[eSpeak phonemes]]
decedent	[[d@'si:t@nt]]	// Eloquence: .0dX.1si.0FXnt
crouse	[['kru:s]]	// Eloquence: .1krus
osmunda	[[,A:z'mVnd@]]	// Eloquence: .2az.1mHn.0dx
emplace	[[@m'pleIs]]	// Eloquence: .0Xm.1ples
peroneal	[[,peIr@'ni:@l]]	// Eloquence: .2pe.0rx.1ni.0xl
allotrope	[['al@,troUp]]	// Eloquence: .1Al.0x.2trop
abatis	[['ab@,ti:]]	// Eloquence: .1A.0bx.2ti
miniguns	[['mIni:,gVnz]]	// Eloquence: .1mI.0ni.2gHnz
sarcoplasmatic	[[,sA:rkoU,plaz'mat@k]]	// Eloquence: .2sar.0ko.2plAz.1mA.0FXk
unci	[['Vn,saI]]	// Eloquence: .1Hn.2sY
delectation	[[,di:lEk'teIS@n]]	// Eloquence: .2dil.0Ek.1te.0SXn
semplice	[['sImpl@tSeI]]	// Eloquence: .1sIm.0plX.0Ce
tautomerism	[[,tO:'tA:m3:,Iz@m]]	// Eloquence: .2tc.1ta.0mR.2I.0zxm
cicadae	[[s@'keIti:]]	// Eloquence: .0sX.1ke.0Fi
bejesus	[[b@'dZi:z@s]]	// Eloquence: .0bX.1Ji.0zxs
shopworn	[['SA:,pwO:rn]]	// Eloquence: .1Sa.2pwcrn
rosharan	[[,roU'SA:r@n]]	// Eloquence: .2ro.1Sa.0rXn
vignette	[[,vI'njEt]]	// Eloquence: .2vI.1nyEt
kwaan	[['kwA:n]]	// Eloquence: .1kwan
pachydermous	[[,pak@'d3:m@s]]	// Eloquence: .2pA.0kX.1dR.0mxs
inphase	[['In,feIz]]	// Eloquence: .1In.2fez
cousinry	[['kVz@nri:]]	// Eloquence: .1kH.0zXn.0ri
plateau	[[,pla'toU]]	// Eloquence: .2plA.1to
sociometric	[[,soUsi:@'mEtr@k]]	// Eloquence: .2so.0si.0x.1mE.0trXk
trifid	[['traIf@d]]	// Eloquence: .1trY.0fXd
umbilicate	[[,Vm'bIl@,keIt]]	// Eloquence: .2Hm.1bIl.0X.2ket
hyperness	[['haIp3:n@s]]	// Eloquence: .1hY.0pR.0nXs
triboelectric	[[,traIboU@'lEktr@k]]	// Eloquence: .2trY.0bo.0X.1lEk.0trXk
neuromata	[[,nU'roUm@t@]]	// Eloquence: .2nU.1ro.0mx.0Fx
baptistery	[['bapt@stri:]]	// Eloquence: .1bAp.0tX.0stri
havasupai	[[,hA:v@'su:,paI]]	// Eloquence: .2ha.0vx.1su.2pY
chloramine	[['klO:r@,mi:n]]	// Eloquence: .1klcr.0x.2min
peleus	[['pi:li:@s]]	// Eloquence: .1pi.0li.0xs
boneheadedness	[['boUn,hEt@dn@s]]	// Eloquence: .1bon.2hE.0FXd.0nXs
